overview,genres
"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.",['Comedy'|'Drama'|'Romance']
A young gangster and his uncle attempt to outwit the head of a crime family that deals hard drugs.,['Action']
Two best friends set out to rescue their pal after he's accidentally dragged to hell.,['Animation'|'Adventure'|'Comedy']
"An escort-service owner uses his girls to get close to politician/PM and media mogul Silvio Berlusconi, but in 2006 he's preoccupied with his shaky marriage and losing an election.",['Biography'|'Drama']
An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,['Action'|'Crime'|'Thriller']
"When former sheriff Alden Rockwell's best friend is shot, he volunteers as a private investigator to find out the truth behind the shooting and discovers a criminal conspiracy between two counties.",['Action'|'Crime'|'Drama']
"A magazine photo shoot is scheduled to take place on a remote, shark infested island.",['Action'|'Adventure'|'Mystery']
"Los Angeles private eye Philip Marlowe is hired by paroled convict Moose Malloy to find his girlfriend Velma, former seedy nightclub dancer.",['Crime'|'Mystery'|'Thriller']
"When a group of sex slaves are forced by the Romans to become gladiatrices, two such fighters - a Nubian dancer and a Gaulish priestess - form an alliance to survive and lead the others to rebel against their captors.",['Action'|'Adventure']
"Evil aliens attack Earth and set their terrible ""Plan 9"" into action. As the aliens resurrect the dead of the Earth, the lives of the living are in danger.",['Horror'|'Sci-Fi']
"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",['Drama'|'Romance']
"A young girl goes with her father and stepmother, with whom she has a lesbian affair, for vacation on a small island and a local fisherman gets between the two lovers.",['Crime'|'Mystery'|'Romance']
James Bond sets out to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.,['Action'|'Adventure'|'Thriller']
A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.,['Action'|'Crime'|'Drama']
"At a high school senior prom, a masked killer stalks four teenagers who were responsible for the accidental death of a classmate six years previously.",['Horror'|'Mystery'|'Thriller']
A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,['Comedy'|'Horror']
"Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.",['Comedy'|'Drama']
"After an overly aggressive district attorney unknowingly sends an innocent man to the chair, he resigns, turns to drinking, and acquires a criminal clientèle.",['Crime'|'Drama'|'Film-Noir']
Five juvenile lost causes are sent to the Everglades where a war veteran tries to reform them using survival tactics. Their new skills and resolve are tested when a Miami drug lord targets them for trying to clean up their neighborhood.,['Action'|'Crime'|'Drama']
An undercover cop infiltrates a gang of thieves who plan to rob a jewelry store.,['Action'|'Adventure'|'Crime']
"An investment banker (Paul Mercurio) travels to Louisiana to snag the account of an eccentric millionaire (Malcolm McDowell) but gets involved with his lusty wife, Mardi Gras, and (possibly) a satanic cult. The events in and around New Orleans change him forever and give a new sl... Read all",['Drama'|'Thriller']
"A man is trying desperately to be certified insane during World War II, so he can stop flying missions.",['Comedy'|'Drama'|'War']
"A small town in California is attacked by Martians, beginning a worldwide invasion.",['Action'|'Sci-Fi'|'Thriller']
"After a sudden attack on MI5, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy.",['Action'|'Adventure'|'Comedy']
"Gino, a drifter, begins an affair with inn-owner Giovanna, and they plan to get rid of her older husband.",['Crime'|'Drama'|'Romance']
A group of teenagers in Mexico City set out to enrich their lives.,['Crime'|'Drama']
